duration,count_x,class_x,count_y,class_y
34,5889.009744125821,0,5889,0
34,5889.009744125821,0,641,0
34,640.2168992811239,0,5889,0
34,640.2168992811239,0,641,0
-57806,0.3752611722476922,1,1,1
-57440,-0.2177872722279832,0,1,0
-56345,1.6860190265453685,1,1,1
-55979,0.5769577322265029,0,1,0
-55614,1.4381160732384255,0,1,0
-55249,0.8175081552599203,0,1,0
-54518,1.101319398315616,0,1,0
-54153,-1.14057012761051,0,1,0
-53788,1.2098276254686688,0,1,0
-53423,1.9156311819589809,0,1,0
-51596,0.9406970236062808,0,1,0
-51231,0.0365097431055658,0,1,0
-50866,0.593579762639125,0,1,0
-50501,3.451653242064032,0,1,0
-49770,1.4566556438878706,0,1,0
-49405,1.703438698799015,0,1,0
-49040,-1.4769044635087614,0,1,0
-48674,-0.2678646672749214,0,1,0
-48309,0.6335662662411486,0,1,0
-47944,1.0658439314845185,0,1,0
-47213,0.551157425690576,0,1,0
-46848,0.5847784173324075,0,1,0
-46483,0.5908961428749353,0,1,0
-46118,2.639599791993619,0,1,0
-45752,1.4191468536064091,0,1,0
-45022,-0.3748368708308112,0,1,0
-44657,2.4514389515218835,0,1,0
-44291,2.4663674517516063,0,1,0
-43926,1.6809103251548605,0,1,0
-43196,-0.0955108809076303,0,1,0
-42830,1.4244738315853889,0,1,0
-42465,0.9213145625576414,0,1,0
-42100,1.2072678667542047,0,1,0
-41735,1.7619420534114076,0,1,0
-41369,0.8620600980080142,0,1,0
-41004,0.962235502708504,0,1,0
-40639,2.5190851875246896,0,1,0
-39543,-0.1648552552749125,0,1,0
-37717,-1.6330022544871738,0,1,0
-37352,0.3744117327278428,0,1,0
-36621,1.9254658648495917,0,1,0
-36256,0.5709302752878902,0,1,0
-35891,-0.8068567200124592,0,1,0
-35525,0.8440462575333458,0,1,0
-35160,-0.3906093631818161,0,1,0
-34795,1.254058236023793,0,1,0
-32603,1.0754850099329405,0,1,0
-32238,-1.722918780269561,0,1,0
-30777,-0.9717109845548662,0,1,0
-27491,2.396997824121748,0,1,0
-20551,1.160491288712513,0,1,0
-19821,-0.1335825204350045,0,1,0
-18225,1.0511457157245088,0,1,0
-14707,1.020160171361125,0,1,0
-6306,0.1873926568899919,0,1,0
-1193,-2.119815229151909,0,1,0
-1096,7.997302002043898,0,9,0
-731,9.745406140329823,0,9,0
